spotifyuri,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Playlist Name,User Name,Password
spotify:track:0wpHo9ufyiNdbnr9lIe0B8,Enter the Unseen,Steven Goldmund,Deep Below,1,2,232385,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1uSaD0JKNb5o8Wv29zULwf,Heavenly,Elise Magnefold,Heavenly,1,1,179014,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1SJ4D06KVt9JygZ68vyjkj,Let Her Go,Amaranth Cove,All Around Us,1,2,183022,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4p7LooYAQniOpcNLunFnF3,Gone,Gavin Luke,Breath of Life,1,3,179166,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2k0lAgtTw0Ac3P1uDd2QJ2,Thinking Like The Flowers,Rand Aldo,Immerse,1,4,241716,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:0TA4KpQK657wXKvW3X0Oxf,Soothe,Alan Ellis,All Behind Us,1,2,150125,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:53sNuDhuyhtVTPNXbk4dEN,Mind-Drift,Steven Goldmund,Drift Off,1,2,240000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5I3JZ3zvxKQMdp9rEcGkiR,Pads of Redemption,Masala Roo,Pads of Redemption,1,1,168536,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1mYTROYR85RaiaVEtQztis,Hibernation,Hushed,Hibernation,1,1,216678,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:17Wjmh3nZzAywevzFHqJnx,Astral Therapy,Primer Dia,"Floating, Always",1,4,137172,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6tLFPu4tSmS5LccfUNtbN6,Beyond Barricades,Claes Nilsson,The Sleeper,1,2,168857,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3Wybg2sLkq2ZrA364KfQfz,Soul Lotion,Cadet de l'espace,Soul Lotion,1,1,210000,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:45HRj3YdVgAOLbkSRiJ4l3,Floriscope,Floriscope,Floriscope,1,1,175082,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:3Se2ifaSm69Np4OtyaNNKa,Endymion,Réka Ioescu,Endymion,1,1,152230,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:4dnjEaI4F2OigWbi95JIDm,Between Moments,Rand Aldo,Tomorrow Will Save Us,1,3,116500,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7x8ILiGyZAFW3F0rPUPYxm,October,Regina Mira,October,1,2,108770,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:42CQUucCi6h2gHB5BQfSbb,Owls,Ebb & Flod,Moonrise,1,2,146483,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5cpH1u4FeSQg3mZ7dRb1mj,Demi Sec,Sub-City Keys,Demi Sec,1,1,175934,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:2DTi3hxKgiIJE1M9zwWvQB,No Struggle - No Progress,Jonathan Coffey,Truth Seeker,1,3,164675,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1b8hMNOq787OU4lAchJozZ,Dream 1 (before the wind blows it all away) - Pt. 1,Max Richter,Sleep,1,1,153101,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:0eQZinXiAeZ75SRcJwuweI,Montauk,Martin Lindgaarden,Montauk,1,1,178974,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:6cFTdXS8OY0Z5009mk3di8,Himalaya,Joseph McGrahl,Time,1,3,158949,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:7KWhxUrK9ofPTn3ItWceR5,For the Love of Love,Novo Talos,For the Love of Love,1,1,143251,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5ZMpJvJRpTs8jPCFDbUqfM,Tell Me And I'll Forget,Rand Aldo,Time Is But A Wellspring,1,1,172569,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:5Lb49aaOwrA5OCWz2yVZQp,Night In Burma,Joseph Beg,Gentle Arrival,1,4,208938,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
spotify:track:1aa3A3F6b5FZFtXAhtrybK,Time Travel,Antologie,Time Travel,1,1,184642,spotify:user:,2019-01-10T22:30:48Z,sleep,Jing,Password
